VF Loss,V Predictions Min,Number of env steps total,Number of train steps total,QF Loss,Epoch Time (s),Log Pis Mean,Sample Time (s),Total Train Time (s),Policy Loss,Q Predictions Mean,AverageTrainReturn_all_train_tasks,V Predictions Std,Log Pis Min,Log Pis Max,Q Predictions Std,KL Divergence,V Predictions Max,Policy log std Std,Q Predictions Min,Z mean train,Policy mu Max,Policy log std Min,Epoch,Log Pis Std,V Predictions Mean,Z variance train,Policy mu Mean,Z mean eval,Q Predictions Max,(Previous) Eval Time (s),AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Min,Train Time (s),Z variance eval,Policy mu Std,Policy log std Max,Number of rollouts total,AverageReturn_all_test_tasks,KL Loss
63.106,-1107.58,416000,40000,159.542,120.14112831700095,3.00723,12.301030233000347,4812.032612358015,326.496,-356.887,9.55906320687,209.952,-6.82087,7.47288,229.491,304.97369384765625,-21.8966,0.153483,-1224.19,0.729261,2.8769,-1.47555,39,2.23849,-324.189,0.00935198,0.112049,4.22303,-35.104,3.5792430520004928,0.427752676201,-0.70528,-2.94801,104.26085503200011,4.76988,1.83943,-0.249534,0,0.686861584061,304.97369384765625
117.078,-1338.89,426000,41000,1050.99,120.17993692099844,3.16492,12.305848880998383,4932.211207279016,339.789,-369.982,7.58295435897,235.673,-5.89324,7.71928,253.586,282.7520751953125,-0.451153,0.142597,-1404.64,0.562794,2.94871,-1.27983,40,2.20536,-332.065,0.00713334,0.036188,0.414688,-10.7491,3.5783988690000115,0.335524360231,-0.709801,-3.00031,104.29568917100005,0.0578985,1.88767,-0.330877,0,1.10720011586,282.7520751953125
113.72,-1514.46,436000,42000,465.379,120.19083484799921,2.84059,12.306657835999431,5052.400766389014,416.166,-446.165,6.60386928407,260.622,-6.5786,7.90316,278.188,313.59527587890625,-5.646,0.174508,-1701.33,0.400326,2.86591,-1.57186,41,2.2525,-412.51,0.00359323,0.292585,0.384032,-13.7204,3.5774550880005336,0.586457310296,-0.701468,-2.96107,104.30672192399925,0.0733785,1.78352,-0.197248,0,0.306870796306,313.59527587890625
42.2276,-1142.38,446000,43000,1183.2,120.19394891799857,2.95409,12.330857608998485,5172.596564463013,317.054,-346.219,8.24072554085,218.78,-5.90479,7.91918,235.808,302.25946044921875,-56.534,0.18109,-1278.37,0.469554,2.96765,-1.47894,42,2.23405,-320.943,0.00195795,0.773157,2.93782,-55.2264,3.5765470380001716,0.72848499085,-0.741791,-2.93379,104.28654427099991,2.23683,1.63818,-0.345378,0,0.308877603873,302.25946044921875
66.3589,-1447.96,456000,44000,178.32,119.969637788,3.09607,12.308893063999676,5292.576071088014,366.238,-401.728,6.42474980693,233.521,-6.38285,8.01269,260.019,267.974609375,-24.6428,0.134164,-1611.05,0.826252,2.88572,-1.38377,43,2.12686,-365.941,0.0114481,0.0508219,2.51704,-42.3864,3.5787550140003077,0.224099754333,-0.693845,-2.86021,104.08198971000002,1.85055,1.87362,-0.274368,0,0.876701522639,267.974609375
57.5144,-1204.97,466000,45000,181.017,119.88067521100129,2.95707,12.301205505001235,5412.450242943014,391.191,-425.272,8.25066423297,241.591,-7.42966,8.25049,265.526,290.65325927734375,-60.1935,0.179029,-1292.25,1.1368,2.81226,-1.41378,44,2.16732,-390.683,0.0260631,0.488887,2.28098,-56.4727,3.5889928409997083,0.548072957497,-0.713738,-3.16728,103.99047686500035,3.45468,1.77653,-0.244803,0,0.262005474534,290.65325927734375
29.7766,-1260.35,476000,46000,94.9205,119.93440105500213,2.9077,12.348038081002414,5532.392061856016,267.14,-292.082,7.90970513314,176.275,-6.50566,8.04981,193.986,335.2542419433594,-12.5302,0.164165,-1294.48,0.477515,2.84383,-1.42667,45,2.16506,-268.278,0.00239981,0.407323,2.21288,-16.5554,3.582895298999574,0.463067696167,-0.712232,-2.90102,104.00346767500014,1.69022,1.77527,-0.254517,0,0.0,335.2542419433594
136.379,-1240.52,486000,47000,423.241,119.80172787800348,2.89294,12.27486908100309,5652.188176146021,337.114,-364.466,7.3770940074,239.988,-9.3173,8.16743,261.622,273.2568664550781,-6.93071,0.123964,-1329.87,0.96978,2.93381,-1.2556,46,2.18229,-335.888,0.0344047,0.401172,3.30941,-21.6275,3.5907170150003367,0.937991528897,-0.698062,-3.15905,103.93614178200005,2.50045,1.78546,-0.261067,0,0.48227565391,273.2568664550781
163.617,-1220.22,496000,48000,305.549,119.88091351700132,2.97816,12.295637533001354,5772.073468686021,355.99,-386.322,7.97870194438,224.052,-4.75606,7.52681,242.73,316.4406433105469,-63.0665,0.131678,-1291.61,0.862894,2.92688,-1.26518,47,2.21095,-350.541,0.00922868,-0.0741378,5.72792,-66.2005,3.5854862509995655,0.478051098325,-0.697571,-2.78577,103.9997897330004,3.59093,1.83189,-0.265865,0,0.0,316.4406433105469
305.67,-1319.31,506000,49000,2681.0,119.88170032500057,3.28,12.327131491000728,5891.955951578022,311.36,-346.97,8.99655507797,232.148,-6.00403,12.408,266.857,359.063232421875,-35.9375,0.185656,-1443.56,0.635771,3.58494,-1.43357,48,2.7246,-320.598,0.00884939,0.493992,3.74233,-34.6395,3.590275458999713,1.1145260523,-0.766132,-4.16029,103.96429337500012,2.49802,1.86428,-0.365703,0,0.585115510279,359.063232421875
