Policy log std Mean,(Previous) Eval Time (s),Policy log std Max,Epoch,Q Predictions Max,Number of env steps total,Log Pis Max,Log Pis Min,QF Loss,Policy Loss,AverageTrainReturn_all_train_tasks,Policy mu Min,Train Time (s),VF Loss,Q Predictions Mean,V Predictions Mean,Policy log std Std,Log Pis Std,Z mean train,Policy log std Min,Total Train Time (s),AverageReturn_all_train_tasks,Log Pis Mean,Policy mu Std,V Predictions Std,KL Divergence,Policy mu Max,V Predictions Min,Z mean eval,KL Loss,Number of rollouts total,AverageReturn_all_test_tasks,Epoch Time (s),V Predictions Max,Q Predictions Std,Number of train steps total,Z variance train,Sample Time (s),Q Predictions Min,Policy mu Mean,Z variance eval
-0.712462,3.5603903359997275,-0.39706,38,-84.867,406000,7.56899,-7.58023,1435.48,496.063,5.61694809111,-2.97479,103.05078561199934,98.5621,-531.588,-494.777,0.151266,2.03453,1.4182,-1.58086,4683.311263411009,1.14856177094,3.05134,1.84437,228.619,314.52593994140625,2.84135,-1162.54,3.82614,314.52593994140625,0,0.552002207885,118.84932311300054,-87.7004,242.537,39000,0.0259874,12.238147165001465,-1240.56,0.184787,1.75525
-0.713984,3.5160275979997095,-0.422247,39,-94.042,416000,8.76257,-5.95292,1045.16,480.186,6.84992920744,-2.82731,103.91400707499997,124.558,-513.363,-486.455,0.146516,2.02654,1.48481,-1.52803,4802.852382789009,0.886648340286,3.06411,1.82714,276.383,325.8040771484375,2.95504,-1380.35,0.681293,325.8040771484375,0,0.509752981489,119.54108958699999,-98.5499,284.625,40000,8.68626e-05,12.111054914000306,-1466.96,0.237878,0.0042565
-0.704189,3.516505753000274,-0.317344,40,-93.3535,426000,7.71763,-6.46574,1010.88,468.453,6.68132763487,-2.89397,103.659645705,296.504,-492.893,-456.34,0.121776,2.02906,1.82833,-1.45244,4922.1404442960065,0.924244054546,2.91201,1.78515,266.874,391.0345764160156,3.31471,-1408.91,5.06355,391.0345764160156,0,0.296025708618,119.29512806899675,-77.725,267.63,41000,0.0105165,12.11897661099647,-1518.36,0.34158,2.07459
-0.723015,3.5096888309999486,-0.453455,41,-97.8129,436000,7.92469,-6.34202,785.669,466.329,7.45382988148,-2.92824,104.03596544300035,125.47,-492.322,-459.876,0.158312,2.22062,0.697658,-1.6091,5041.776731652006,1.17224294864,2.84241,1.72948,237.599,358.25421142578125,3.03344,-1584.02,3.96856,358.25421142578125,0,0.390163175744,119.6414083890013,-97.4703,250.488,42000,0.000142906,12.095754115001,-1719.63,0.505888,1.70164
-0.727928,3.5051566899992395,-0.383288,42,-75.9159,446000,7.89332,-5.99809,1013.77,362.596,7.97462541175,-2.87917,104.27807794800083,178.829,-390.788,-368.635,0.146727,2.09758,0.870014,-1.51681,5161.64945955401,0.841695557832,2.9079,1.72587,208.692,418.7257080078125,3.01088,-1148.66,5.40944,418.7257080078125,0,0.28905276164,119.86426158500126,-88.0822,224.088,43000,0.0002616,12.081026947001192,-1252.02,0.516908,2.306
-0.721247,3.513965874999485,-0.432454,43,-70.4733,456000,7.85828,-7.65031,978.261,441.493,6.04161482874,-3.14559,104.20761332700022,111.261,-476.562,-441.14,0.158793,2.20749,1.67715,-1.61584,5281.474230623007,0.987657643897,3.09266,1.87922,253.387,347.33941650390625,2.95049,-1455.65,1.18495,347.33941650390625,0,1.54690134241,119.82025227999839,-69.1621,275.079,44000,0.000666944,12.098673077998683,-1618.9,0.0958817,1.18478
-0.705589,3.519004599999789,-0.300177,44,-83.4297,466000,8.40452,-6.6179,906.805,470.813,7.32984789841,-2.92461,104.10378543199931,180.694,-499.959,-473.179,0.148165,2.119,0.643007,-1.51365,5401.191434217009,1.15580292445,2.98083,1.82454,236.633,328.48785400390625,3.04967,-1642.43,3.2228,328.48785400390625,0,1.29180902477,119.71349966199978,-84.3797,256.707,45000,0.00644005,12.090709630000674,-1821.93,0.296396,4.63008
-0.713071,3.523174908999863,-0.255811,45,-75.6988,476000,8.33226,-6.73861,643.764,376.157,6.67470403497,-3.06237,104.25289870899996,153.749,-403.474,-380.709,0.152184,2.13159,1.5548,-1.50015,5521.07282749801,1.05441216758,2.92831,1.81017,206.862,363.1163330078125,2.90821,-1272.47,1.9521,363.1163330078125,0,0.666618826372,119.88786081300077,-80.8327,218.33,46000,0.0205624,12.111787195000943,-1403.71,0.232876,2.47851
-0.728329,3.517161775000204,-0.438423,46,-92.8924,486000,7.35368,-6.63222,490.302,416.689,7.07654773404,-2.89116,104.17383528900064,168.451,-444.839,-410.917,0.162354,2.15817,0.923617,-1.65043,5640.885978169008,0.942383719413,2.86581,1.74502,220.257,334.0767517089844,2.95294,-1421.28,4.00962,334.0767517089844,0,0.438578126435,119.8165975969996,-88.5828,232.243,47000,0.0261073,12.12560053299876,-1520.77,0.467081,2.0923
-0.69734,3.5142450490002375,-0.246044,47,-94.1309,496000,7.92087,-5.56719,463.825,449.678,7.71854440892,-2.90812,104.25083603800067,102.193,-488.198,-447.967,0.166937,2.00803,1.14662,-1.54311,5760.74424811001,0.619800701745,3.19466,1.90497,224.975,356.01605224609375,3.03092,-1262.99,0.790578,356.01605224609375,0,1.48411118638,119.86977909300367,-93.2561,245.773,48000,0.00957932,12.104698006002764,-1357.86,-0.0788362,0.819105
