Log Pis Max,Number of rollouts total,V Predictions Max,V Predictions Mean,Q Predictions Min,Sample Time (s),Number of train steps total,VF Loss,Q Predictions Max,Policy log std Max,(Previous) Eval Time (s),AverageTrainReturn_all_train_tasks,Log Pis Mean,Q Predictions Std,Log Pis Min,Z mean eval,KL Divergence,Policy mu Min,Policy mu Max,Z variance eval,Epoch Time (s),Policy mu Mean,KL Loss,Number of env steps total,Policy mu Std,Epoch,Z mean train,QF Loss,AverageReturn_all_test_tasks,Policy log std Std,AverageReturn_all_train_tasks,Train Time (s),Policy log std Min,Q Predictions Mean,Total Train Time (s),V Predictions Min,Policy log std Mean,Policy Loss,V Predictions Std,Log Pis Std,Z variance train
8.00809,0,-122.912,-664.267,-1263.22,11.876095097997677,39000,203.347,-125.803,-0.0359659,3.4406219749998854,1.52276352321,1.02793,254.511,-8.43064,0.335132,197.12928771972656,-2.75818,2.65562,1.57052,118.03076316699753,0.511163,197.12928771972656,406000,1.15541,38,0.435965,923.301,0.814539646829,0.161399,0.687934780538,102.71404609399997,-1.36942,-684.678,4671.205534861992,-1162.25,-0.643053,677.077,247.059,1.81516,0.00678544
7.89891,0,-130.383,-627.56,-1489.79,11.886228907998884,40000,28.8894,-129.853,0.270634,3.4488242879997415,3.67455258512,1.11638,293.985,-7.08194,3.94583,218.2479248046875,-2.91626,2.84682,6.88824,118.83034707399838,0.501723,218.2479248046875,416000,1.17857,39,0.211587,721.148,0.603925694602,0.176115,1.65166227919,103.49529387799976,-1.52368,-636.301,4790.03276317199,-1402.51,-0.676555,631.33,292.406,1.87201,0.000557972
8.38054,0,-115.522,-617.313,-1479.91,11.894743102001485,41000,53.6359,-118.399,0.373441,3.4460832929999015,3.4292775972,1.14137,373.027,-7.20909,0.968635,262.640380859375,-2.95489,2.9334,2.87722,118.50731606400132,0.0699217,262.640380859375,426000,1.27775,40,1.28672,743.884,0.79665767828,0.216622,1.87571945488,103.16648966899993,-1.60211,-625.306,4908.476607583991,-1408.44,-0.733906,616.1,377.833,2.12195,0.0444897
7.16668,0,-118.263,-616.859,-1332.06,11.816432171999622,42000,23.7936,-120.052,0.201823,3.3829980290001913,2.65769065444,1.25068,305.804,-8.58379,1.36154,204.72125244140625,-2.8477,2.74088,3.83642,118.80756493100034,0.445364,204.72125244140625,436000,1.22997,41,1.66314,863.283,0.717139501618,0.218493,0.509849174105,103.60813473000053,-1.50485,-627.232,5027.3514013169915,-1292.08,-0.717446,615.02,304.501,1.86754,0.0938871
8.68149,0,-122.485,-535.11,-1165.63,11.917249048000485,43000,21.8498,-123.487,0.428472,3.4506205389998286,6.12603302281,1.20487,235.456,-7.31831,4.35334,204.59371948242188,-2.9738,2.72835,8.88463,119.34368987900052,0.547587,204.59371948242188,446000,1.20907,42,0.876085,540.186,0.648536246589,0.229597,1.08149573259,103.97582029200021,-1.38763,-545.917,5146.6946908629925,-1075.86,-0.652041,534.794,233.966,1.92981,0.0354566
7.81427,0,-107.079,-648.661,-1385.13,11.928704865002146,44000,45.3102,-116.165,0.515522,3.4506094600001234,5.32040961584,1.41246,308.294,-7.10612,0.468635,214.0393829345703,-3.14167,2.9563,1.67877,119.29687744700186,0.454744,214.0393829345703,456000,1.30098,43,0.229186,661.795,1.527382308,0.217883,0.57676631712,103.91756312199959,-1.55337,-661.935,5265.989071846992,-1262.33,-0.673673,651.069,308.567,1.99926,0.000256227
9.98498,0,-129.959,-643.477,-1421.1,11.893968308001604,45000,54.2234,-123.041,0.275262,3.4485210820002976,4.07474022714,1.64173,269.836,-7.52535,5.59422,217.7478790283203,-3.5144,2.83932,11.7282,119.17702352800188,0.430348,217.7478790283203,466000,1.40584,44,2.00116,632.054,0.296242805394,0.22796,1.07365538137,103.83453413799998,-1.50009,-651.783,5385.165628485995,-1338.8,-0.657505,638.819,269.499,2.16638,0.0839317
7.99041,0,-118.374,-525.588,-1284.55,11.903346763000627,46000,91.0498,-109.652,-0.115503,3.4484267609996095,4.32942256948,2.04197,303.055,-6.5914,0.48883,251.24905395507812,-3.03412,3.03706,0.00220488,119.33038860800025,0.415164,251.24905395507812,476000,1.49809,45,1.72469,1026.83,0.556782847189,0.277044,1.68972940493,103.97861508400001,-1.74641,-533.89,5504.498509663996,-1251.06,-0.754793,518.044,306.041,2.3348,0.0903314
7.19686,0,-116.971,-547.019,-1310.04,11.897473216000435,47000,148.1,-125.27,0.0929142,3.451462938000077,5.62965727016,2.40081,231.604,-7.69331,3.56967,188.32388305664062,-2.94514,2.76246,7.55294,119.25616487700063,0.955186,188.32388305664062,486000,1.37769,46,1.05634,660.853,1.3534348878,0.17064,1.19770543595,103.90722872300012,-1.61619,-574.206,5623.748781833996,-1174.29,-0.664316,557.275,230.103,2.12777,0.0371367
8.21276,0,-81.2126,-585.799,-1423.23,11.888067852003587,48000,34.3233,-83.5211,0.173545,3.445901027000218,3.9867823436,2.36379,304.81,-6.52275,2.76646,207.4045867919922,-3.10258,2.98729,9.58437,119.31980158300394,0.240637,207.4045867919922,496000,1.63961,47,0.644815,789.805,1.21849219986,0.205893,0.321733617134,103.98583270400013,-1.57797,-607.524,5743.069317010999,-1342.45,-0.702562,588.469,303.688,2.26668,0.0199054
8.15119,0,-94.5696,-470.576,-1344.25,11.915478535001057,49000,134.382,-98.6627,-0.123998,3.4470882539999366,5.9888875865,2.48906,272.311,-7.10321,2.63491,241.68075561523438,-3.27577,2.94142,7.17664,119.31751506800083,0.880757,241.68075561523438,506000,1.44917,48,1.80792,681.191,1.00011040028,0.215395,1.33292744418,103.95494827899984,-1.57627,-500.581,5862.391119938999,-1187.46,-0.702903,480.319,269.833,2.25528,0.0895806
