Q Predictions Min,KL Loss,Policy mu Std,Z variance train,Sample Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of train steps total,Policy log std Max,Log Pis Max,Q Predictions Mean,Z mean eval,Total Train Time (s),AverageTrainReturn_all_train_tasks,Epoch Time (s),Policy log std Std,QF Loss,Z mean train,Epoch,(Previous) Eval Time (s),Z variance eval,Q Predictions Std,Policy log std Min,Log Pis Mean,V Predictions Min,V Predictions Mean,Policy mu Max,Log Pis Std,Q Predictions Max,Train Time (s),Policy Loss,AverageReturn_all_train_tasks,VF Loss,KL Divergence,V Predictions Max,Policy log std Mean,Number of env steps total,Log Pis Min,V Predictions Std,Policy mu Mean,Number of rollouts total
-1578.1,265.40386962890625,1.84844,0.00629947,12.057483807999233,-2.76338,0.243828441726,37000,-0.0999549,7.70035,-651.178,7.20411,4451.335441932013,5.39328632303,119.36682035399917,0.130676,181.074,0.162893,36,3.4692595129999972,4.10478,244.666,-1.39306,3.12921,-1416.24,-616.399,3.58382,2.00277,-149.626,103.84007703299994,621.465,0.851925325084,64.4102,265.40386962890625,-137.274,-0.672535,386000,-6.84344,238.044,0.264313,0
-1074.8,320.3160095214844,1.79358,0.00214825,12.060345777998918,-2.95498,0.531032313045,38000,-0.305645,7.63865,-489.654,0.932794,4570.764476040014,5.2034827735,119.42527501999939,0.177963,173.712,1.0377,37,3.4679530060002435,0.0599301,217.413,-1.51257,3.02339,-1041.24,-457.87,2.8958,2.07954,-96.5896,103.89697623600023,464.029,0.430351141331,81.5587,320.3160095214844,-85.6359,-0.726745,396000,-7.86335,207.08,0.372841,0
-1537.58,321.8695068359375,1.63322,0.00289808,12.048356527001488,-3.1036,0.0,39000,0.240807,10.282,-585.196,0.857628,4690.207688581017,4.81686228966,119.44415221000145,0.170857,1390.18,1.35854,38,3.4720551400005206,0.274326,254.151,-1.39493,2.30747,-1399.96,-557.916,4.38342,2.08209,-89.4792,103.92374054299944,564.396,0.441484373529,88.3496,321.8695068359375,-78.7294,-0.675958,406000,-5.99637,247.265,0.309488,0
-1134.76,313.58941650390625,1.57444,0.00240719,12.059029313998508,-2.68152,0.443448507634,40000,-0.322164,7.37175,-502.076,1.01281,4809.805605808013,6.15195619638,119.59721813899887,0.210351,465.166,1.05207,39,3.471434869999939,0.158892,254.131,-1.46689,2.15336,-1082.44,-478.305,2.9094,2.05012,-94.9271,104.06675395500042,480.058,0.224590043969,116.978,313.58941650390625,-99.9503,-0.681124,416000,-6.28707,247.347,0.350334,0
-1262.69,365.5910949707031,1.69491,0.00798992,12.047773266003787,-2.72876,0.492597851062,41000,-0.349469,7.67402,-486.801,3.18326,4929.2613596880165,5.64297725496,119.4620359230048,0.24286,446.823,0.651065,40,3.4725315730001967,2.50702,270.884,-1.63106,2.57211,-1197.74,-472.133,2.89482,2.12565,-92.4451,103.94173108400082,461.716,1.0238705609,166.791,365.5910949707031,-95.426,-0.764983,426000,-7.91765,263.603,0.219633,0
-1364.88,310.4346923828125,1.66857,0.00173647,12.043382017998738,-2.9745,0.0,42000,-0.0639714,7.54235,-495.992,0.105563,5048.683829312016,3.78560473916,119.42419012499886,0.169885,598.575,0.84859,41,3.46668144799969,0.0454774,234.243,-1.46568,2.84139,-1236.24,-471.047,2.90624,2.16566,-103.492,103.91412665900043,468.438,0.369105617611,47.0948,310.4346923828125,-104.379,-0.711673,436000,-7.43107,222.712,0.635726,0
-1179.66,405.2653503417969,1.60776,0.00315344,12.042637425995963,-2.8051,0.356308648135,43000,-0.228125,7.12526,-378.496,5.21704,5168.113277866012,7.60639365015,119.42864481099605,0.178904,238.739,1.0487,42,3.465367716000401,3.08814,205.378,-1.61165,2.62765,-1061.35,-356.716,2.98953,2.11477,-71.6651,103.92063966899968,352.899,0.0410716448128,78.9057,405.2653503417969,-76.2705,-0.751001,446000,-6.23858,191.025,0.582992,0
-1340.38,289.96307373046875,1.67913,0.00372461,12.033854978999443,-2.81914,0.420746332081,44000,-0.0118546,7.39587,-618.547,0.805487,5287.406107707013,7.07891671646,119.27485323000019,0.141373,1153.36,0.938055,43,3.466563691000374,0.0732281,284.563,-1.41357,2.38964,-1214.67,-590.516,3.11802,2.03308,-104.019,103.77443456000037,593.572,0.538184397654,79.5267,289.96307373046875,-98.755,-0.665468,456000,-12.038,278.994,0.0817447,0
-1447.6,312.5851135253906,1.82558,0.0181713,12.070384821002335,-3.1082,0.292587319194,45000,-0.275845,8.29292,-547.272,2.06833,5406.509331690013,8.13888101275,119.11372758900234,0.131225,688.084,0.934774,44,3.4849521489995823,1.37787,293.413,-1.29458,3.24064,-1411.06,-513.223,2.9077,2.09422,-62.343,103.55839061900042,511.314,0.225820916089,121.235,312.5851135253906,-62.4925,-0.69176,466000,-6.69157,286.787,0.529942,0
-1343.13,354.6358642578125,1.75007,0.00168461,12.059988123995936,-2.97206,0.564377532181,46000,-0.267811,7.64682,-389.752,2.49651,5525.67974416301,6.25606839976,119.16634041899579,0.178658,215.779,0.689774,45,3.47485354499986,0.780867,235.263,-1.42053,2.81389,-1244.07,-371.863,2.91862,2.10479,-87.6023,103.63149874999999,364.93,0.389468331817,94.1615,354.6358642578125,-94.6352,-0.736231,476000,-8.8186,216.975,0.341557,0
